,미디어_TV_장르_1~3순위,,,미디어_OTT,미디어_동영상 콘텐츠_장르,,,,,,,,,,,,,
panel_id,1순위,2순위,3순위,사용_OTT_수,드라마/영화,음악/댄스,푸드/먹방/레시피,뉴스/시사/정치,게임,스포츠경기,예능,연예계소식,여행,뷰티,동물,운동,학습/강의/업무,일상및토크
H0041432,4,1,3,2,0,0,1,0,0,1,1,0,1,0,1,0,0,0
H0041434,2,1,10,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
H0041721,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0041792,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
H0042371,8,3,2,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
H0042571,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0042798,2,10,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
H0043183,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H0043345,1,2,6,2,1,1,1,1,1,1,1,1,1,0,0,1,0,1
H0043407,1,8,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1
H0043762,3,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
H0043823,1,2,8,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0
H0044037,3,1,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
H0044261,2,9,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
H0044443,1,9,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
H0044507,2,6,3,5,1,1,1,1,0,0,1,1,1,0,0,0,1,0
H0045271,2,9,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
H0045465,1,2,9,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1
H0045485,3,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0
H0045538,1,3,4,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
H0045714,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
H0045764,1,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
H0045822,3,8,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
H0046184,2,1,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
H0046247,2,1,6,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
H0046303,3,9,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
H0046491,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
