panel_id,Major OTT,Minor OTT,YouTube,쇼핑,스포츠,cluster
K0554775,0.285407,0.011941,13.92739,17.25926,0,2
K0554831,2.663354,0,12.93625,9.423077,0,1
K0554875,0.033837,6.476098,32.47129,4.730769,0,0
K0554884,0.936773,0.312883,3.947666,3.16,0,1
K0554896,1.059879,0.323967,9.933629,9.592593,0,0
K0554929,2.983087,0.032771,24.85526,6.888889,0,1
K0554977,4.256582,0.155248,1.066626,12.48148,0,0
K0555001,0.108531,0,6.098535,13.30769,0,1
K0555098,1.395501,0,28.03525,46.25926,0,2
K0555130,1.608478,0,1.534733,13.55556,0.104765,0
K0555140,2.161699,0,7.859581,6.592593,0,1
K0555153,4.009977,0,5.369462,12.44444,0.114296,0
K0555193,0.182597,0.011851,2.024431,3.666667,0,0
K0555221,0.598571,0,20.03811,14.96296,0,1
K0555275,1.491256,0.108286,0.181813,13.59259,0.13355,0
K0555340,4.30033,0,0.261046,32.81481,0,2
K0555376,6.471747,0.268678,29.71445,7.407407,0,2
K0555385,0.351101,0.134507,8.803152,6.888889,0,0
K0555433,0.000309,0,25.85016,2.5,0,1
K0555443,1.668723,0,3.279382,4,0,0
K0555457,0.006605,0.00212,18.72609,20.51852,0,0
K0555465,2.240801,0.760404,1.089769,23.2963,0,2
K0555521,0.416798,0.116186,5.45144,8.333333,0,0
K0555548,0.44417,0,0.243238,10.2963,0,0
K0555592,0.060025,4.235811,7.648016,2.916667,0,3
K0555656,3.340683,0,22.37882,5.538462,0,1
K0555739,0.416279,0,3.519196,2.388889,0,1
K0555787,3.061671,0,6.493897,17.03704,0,0
K0555796,5.011994,0,17.04671,6.851852,0.031283,0
K0555878,8.336524,0,6.454431,34.92593,0,0
K0555928,2.78356,0.000248,15.0533,2.5,1.022091,0
K0555932,0.528923,0,13.14644,12.55556,0,0
K0555966,0.340964,0.060251,1.627566,2.608696,0.252924,0
K0555981,0.642904,1.560642,8.141628,10.88889,0,0
K0555983,2.985086,0,15.76178,11.59259,0.007397,1
K0555985,0.071902,0,0.110445,9.333333,0.042079,2
K0556008,0.149004,0,1.127578,4.217391,0,0
K0556051,3.464841,0.03855,0.433594,14.62963,0,0
K0556063,1.205574,0,1.82766,4.52,0,0
K0556065,0.504077,0,2.135375,11.57692,0,0
K0556072,14.80086,0,7.441174,2,0,3
K0556098,1.873862,0,0.966175,16.44444,0,0
K0556106,7.128882,8.80532,1.284988,0,0,0
K0556113,0.729045,0,10.37416,10,0,0
K0556143,0.073609,0,0.071037,9.518519,0,2
K0556157,0.0405,0,24.46672,11.30769,0,0
K0556254,2.098148,0,4.72071,10.11111,0,2
K0556277,0.059392,0,12.07542,5.090909,0,1
K0556347,2.981888,0,2.18006,2.111111,0,1
K0556348,2.403544,1.003314,9.851867,10.21739,0,3
K0556349,11.63922,0,2.11912,12,0,3
K0556379,0.568496,0,10.26039,8.814815,0,0
K0556391,0.688791,0.140555,12.09758,5.653846,0.490263,3
K0556402,0.067808,0,6.379345,9.851852,0,1
K0556415,2.16462,2.971679,21.01268,2.1,0,1
K0556419,4.154713,0.001884,21.12229,23.92593,0,0
K0556444,1.749818,0.026753,2.469412,4.105263,0.729919,0
K0556495,2.566133,0,13.57138,4.384615,0,0
K0556557,0.793251,0.381627,2.227584,21.14815,0,1
K0556669,2.433748,0.003568,10.63992,5.518519,0,1
K0556742,6.392956,0,4.075121,7.148148,0,1
K0556773,0.380804,0.009115,0.677551,37.77778,0.197684,2
